"DisplayName";"Description";"Path"
"Configure Azure File Sync to use private DNS zones";"To access the private endpoint(s) for Storage Sync Service resource interfaces from a registered server, you need to configure your DNS to resolve the correct names to your private endpoint's private IP addresses. This policy creates the requisite Azure Private DNS Zone and A records for the interfaces of your Storage Sync Service private endpoint(s).";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageSync_PrivateDNSZone_DeployIfNotExists.json"
"Configure Azure File Sync with private endpoints";"A private endpoint is deployed for the indicated Storage Sync Service resource. This enables you to address your Storage Sync Service resource from within the private IP address space of your organization's network, rather than through the internet-accessible public endpoint. The existence of one or more private endpoints by themselves does not disable the public endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageSync_PrivateEndpoint_DeployIfNotExists.json"
"Configure diagnostic settings for Table Services to Log Analytics workspace";"Deploys the diagnostic settings for Table Services to stream resource logs to a Log Analytics workspace when any table Service which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/TableServicesLogsToWorkspace_DINE.json"
"Storage Account - Access Key Setting DENY";"This Azure Policy denies the deployment of an Azure Storage Account when the 'Allow storage account key access' setting is not set to 'Disabled'.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deny-storage-account-access-key-setting/azurepolicy.json"
"Storage Account - Customer Managed Keys Blob and File Storage DENY";"This Azure Policy denies the deployment of an Azure Storage Account when the 'Encryption type' setting is not set to 'Customer-managed keys'.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deny-storage-account-cmk-blob-file-storage/azurepolicy.json"
"Storage Account - Customer Managed Keys Queue and Table Storage DENY";"This Azure Policy denies the deployment of an Azure Storage Account when the 'Enable support for customer-managed keys' setting is set to 'Blobs and files only'.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deny-storage-account-cmk-queue-table-storage/azurepolicy.json"
"deny-storage-account-firewall-ip-rules-may-only-contain-ips-from-a-list-of-approved-ips";"deny-storage-account-firewall-ip-rules-may-only-contain-ips-from-a-list-of-approved-ips";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deny-storage-account-firewall-ip-rules-may-only-contain-ips-from-a-list-of-approved-ips/azurepolicy.json"
"Storage Account - Firewall Settings DENY";"This Azure Policy denies the deployment of an Azure Storage Account when the 'Allow access from' setting is not set to 'Selected networks' and when the Firewall does contain any IP addresses outside of the approved ones.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deny-storage-account-firewall-settings/azurepolicy.json"
"Storage Account - Read Access Logs and Metrics DENY";"This Azure Policy denies the deployment of an Azure Storage Account when the 'Allow read access to storage logging from any network' and 'Allow read access to storage metrics from any network' settings are 'Enabled'.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deny-storage-account-read-logs-metrics/azurepolicy.json"
"Storage Account - TLS Setting DENY";"This Azure Policy denies the deployment of an Azure Storage Account when the 'Minimum TLS version' setting is not set to 'Version 1.2'.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deny-storage-account-tls-setting/azurepolicy.json"
"Storage Account - Trusted Azure Services DENY";"This Azure Policy denies the deployment of an Azure Storage Account when the 'Allow Azure services on the trusted services list to access this storage account' setting is set to 'Enabled'.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deny-storage-account-trusted-azure-services/azurepolicy.json"
"Deploy 'Geo-redundant' replication on Storage Account";"This policy set geo-redundancy on storage accounts.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-geo-redundant-replication/azurepolicy.json"
"Storage Account - Diagnostic Settings DINE";"This Azure Policy creates a deployment to send all logs and metrics to a specified Log Analytics Workspace.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-account-diagnostic-settings/azurepolicy.json"
"deploy-storage-account-lifecycle-management";"deploy-storage-account-lifecycle-management";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-account-lifecycle-management/azurepolicy.json"
"deploy-storage-atp-exempt-tagged-resources";"deploy-storage-atp-exempt-tagged-resources";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-atp-exempt-tagged-resources/azurepolicy.json"
"Deploy Diagnostic Settings for Azure Storage, including blobs, files, tables, and queues to a Log Analytics workspace";"Deploys the diagnostic settings for Azure Storage, including blobs, files, tables, and queues to stream to a regional Log Analytics workspace when any Azure Storage which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-monitoring-log-analytics/azurepolicy.json"
"Deploy Diagnostic Settings for Azure Storage blobs to Log Analytics workspace";"Deploys the diagnostic settings for Azure Storage blobs to stream to a regional Log Analytics workspace when any Azure Storage which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-monitoring-log-analytics/blobservices/azurepolicy.json"
"Deploy Diagnostic Settings for Azure Storage files to Log Analytics workspace";"Deploys the diagnostic settings for Azure Storage files to stream to a regional Log Analytics workspace when any Azure Storage which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-monitoring-log-analytics/fileservices/azurepolicy.json"
"Deploy Diagnostic Settings for Azure Storage queues to Log Analytics workspace";"Deploys the diagnostic settings for Azure Storage queues to stream to a regional Log Analytics workspace when any Azure Storage which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-monitoring-log-analytics/queueservices/azurepolicy.json"
"Deploy Diagnostic Settings for Azure Storage to Log Analytics workspace";"Deploys the diagnostic settings for Azure Storage to stream to a regional Log Analytics workspace when any Azure Storage which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-monitoring-log-analytics/storageaccounts/azurepolicy.json"
"Deploy Diagnostic Settings for Azure Storage tables to Log Analytics workspace";"Deploys the diagnostic settings for Azure Storage tables to stream to a regional Log Analytics workspace when any Azure Storage which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/deploy-storage-monitoring-log-analytics/tableservices/azurepolicy.json"
"disable-storage-atp-based-on-tag";"disable-storage-atp-based-on-tag";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/disable-storage-atp-based-on-tag/azurepolicy.json"
"enable-blob-softdelete-30days";"enable-blob-softdelete-30days";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/enable-blob-softdelete-30days/azurepolicy.json"
"Enforce storage account public firewall blocking access";"Enforce storage account public firewall blocking access";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/Enforce storage account public firewall blocking access/azurepolicy.json"
"restrict-container-immutability-period";"restrict-container-immutability-period";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/restrict-container-immutability-period/azurepolicy.json"
"Storage account public access should be disallowed";"Storage account public access should be disallowed";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/Storage account public access should be disallowed/azurepolicy.json"
"Storage accounts should have minimal TLS version 1.2";"Storage accounts should have minimal TLS version 1.2";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/Storage accounts should have minimal TLS version 1.2/azurepolicy.json"
"storage-account-access-tier";"storage-account-access-tier";"https://github.com/Azure/Community-Policy/tree/master/Policies/Storage/storage-account-access-tier/azurepolicy.json"
